ts-diff-r8 REF ENUMERATION - 2026-07-29T15:34:05Z
Full sweep, NO pattern used (git for-each-ref --format='%(objectname) %(refname)')
Both clones cloned from local path /workspace/farmtable. Zero commits authored by this leg.

############ /tmp/tsdiff/base  HEAD=e4e3d1352809428a5dfe386bb53c0b18a562332f ############
# ref count: 208  | all objects verified present in /workspace/farmtable
1251e7a082256ef80af3b8e2e426421e627de9b4 refs/remotes/origin/feat/f45-beads-import  [ON-ORIGIN-PATH: YES]
ab75471d056543dca67298e398345e1f4162f7b2 refs/remotes/origin/feat/f46-relationships-add-remove  [ON-ORIGIN-PATH: YES]
24dc954ccd8aad4764571ebe599101c222bee51a refs/remotes/origin/feat/f48-dependency-view-dnd  [ON-ORIGIN-PATH: YES]
495bc0817c861a966191e2a559fa0547076d2dbb refs/remotes/origin/feat/f50-landing-page-scroll-newproject  [ON-ORIGIN-PATH: YES]
118bc458c8eab859a3bce896e24d43d20fec8a6a refs/remotes/origin/feat/f54-tree-minimap  [ON-ORIGIN-PATH: YES]
4893de1d6334431d48a624e4f2497e83d4767e62 refs/remotes/origin/feat/f56-zoom-and-highlight  [ON-ORIGIN-PATH: YES]
a8c8bde29d277f8b30e4d0bdc9f8401707b48577 refs/remotes/origin/feat/f59-iap-token-header  [ON-ORIGIN-PATH: YES]
a45f33e2fc6bb2cdb614130a488c84176f5c3bf1 refs/remotes/origin/feat/filter-chips  [ON-ORIGIN-PATH: YES]
451b78479e60a5baab5c3fb5f95388f2da3f25ea refs/remotes/origin/feat/filtered-count-badge  [ON-ORIGIN-PATH: YES]
9c84d93f1a5c662f73c77bc8d4bcbf8e3a258aca refs/remotes/origin/feat/inline-card-edit  [ON-ORIGIN-PATH: YES]
04535a6cede15deabafa4d3b7ac441c902ce3f89 refs/remotes/origin/feat/inspector-assignee-edit  [ON-ORIGIN-PATH: YES]
4856f4c33e684313788763dd0509044195af3bd9 refs/remotes/origin/feat/inspector-editor-reliability  [ON-ORIGIN-PATH: YES]
07c07208f65ed0e29ee9e6b2b8b8a766877bd551 refs/remotes/origin/feat/inspector-keyboard-nav  [ON-ORIGIN-PATH: YES]
598a2c751d655af802879ee8e492947345b988ed refs/remotes/origin/feat/inspector-label-edit  [ON-ORIGIN-PATH: YES]
e43559ff9b22d52db5bb7c0d78e05a1fcbb64f22 refs/remotes/origin/feat/inspector-priority-edit  [ON-ORIGIN-PATH: YES]
df0a76efda0df7c353aad2aa37dbb86c5ab3474f refs/remotes/origin/feat/kanban-keyboard-nav  [ON-ORIGIN-PATH: YES]
d622196766476344cb3306072ef8bd92576d448c refs/remotes/origin/feat/new-collection-modal  [ON-ORIGIN-PATH: YES]
7dee6ff55c69efb5587ae754823d3a93450b50df refs/remotes/origin/feat/passthrough-write-p1  [ON-ORIGIN-PATH: YES]
51d39a200979f77d721ba707965b02e8518d7ab0 refs/remotes/origin/feat/passthrough-write-p2  [ON-ORIGIN-PATH: YES]
d0f2322a91374f707eecc1d406c87961eceb3c39 refs/remotes/origin/feat/passthrough-write-p3  [ON-ORIGIN-PATH: YES]
5538fbfb07c0fdc9c4940eaa0fe6ab8ac6dbb685 refs/remotes/origin/feat/per-column-create  [ON-ORIGIN-PATH: YES]
994f8012607ec8524e22aeac340b4b2e0ee78bc8 refs/remotes/origin/feat/prompt-variants  [ON-ORIGIN-PATH: YES]
9f4291bec9b728de01580a7887385d247b3aee94 refs/remotes/origin/feat/shortcut-overlay  [ON-ORIGIN-PATH: YES]
36278501116309c61a415b94832c71c3cf22050b refs/remotes/origin/feat/task-detail-panel  [ON-ORIGIN-PATH: YES]
285b93466ab5e76b501cab6765be01b1e5ca8bd9 refs/remotes/origin/feat/toolbar-filters  [ON-ORIGIN-PATH: YES]
b98dd9edafd38f7e340cb9dbdac2bbf3a48ec0a8 refs/remotes/origin/feature-67-tree-orientation  [ON-ORIGIN-PATH: YES]
9625850cb66f6ad21a8fb48f07b3cc52ff09f316 refs/remotes/origin/feature-67-tweak-default-lr  [ON-ORIGIN-PATH: YES]
1d6ac9aa35759fac15272c30f6c67c8c2e20c940 refs/remotes/origin/feature-68-kanban-autoscroll  [ON-ORIGIN-PATH: YES]
0b85bbdab7dc4b38eff7c01979b0e7f0d70f974d refs/remotes/origin/feature-69-inspector-external-link  [ON-ORIGIN-PATH: YES]
b0ff5c3f5e2476a1fa10353349a5091fe23f5b19 refs/remotes/origin/feature-70-favicon  [ON-ORIGIN-PATH: YES]
6777380a41a3fd32e820432b320aa39485a9e03c refs/remotes/origin/feature-71-minimap-damping  [ON-ORIGIN-PATH: YES]
42e1266d925d5c67cbb99060bddc603a3d25a781 refs/remotes/origin/feature/f61-isolate-mode  [ON-ORIGIN-PATH: YES]
ddcb53d5a7b811aeeab23eb43bfb05d0da926de2 refs/remotes/origin/feature/f61-v2-fixes  [ON-ORIGIN-PATH: YES]
e4eb41fde2032475b967fc7deeb51db1cf266722 refs/remotes/origin/feature/f62-task-deep-links  [ON-ORIGIN-PATH: YES]
6bbbd9847eaea3f45b6cf76d84d89d79afa0f510 refs/remotes/origin/feature/f63-default-dashboard  [ON-ORIGIN-PATH: YES]
65bcd0f882bff4c4f0125e07ed46df457cc7e0d3 refs/remotes/origin/feature/f64-dnd-animation  [ON-ORIGIN-PATH: YES]
4b219786ea08088d72bb764b3a5ef8b1fa823e77 refs/remotes/origin/feature/f65-dashboard-ready-count  [ON-ORIGIN-PATH: YES]
709ded90410a9cf8cf2064bd355b20ccc0642c5b refs/remotes/origin/feature/f66-solo-sticky  [ON-ORIGIN-PATH: YES]
526ea52b5d5ad423f58cd741d385c363434bc241 refs/remotes/origin/fix-dependency-closed-solo  [ON-ORIGIN-PATH: YES]
0dcf18e909336855ccf9d98030c6bf8ee1489b16 refs/remotes/origin/fix-solo-crossedge  [ON-ORIGIN-PATH: YES]
b26dd5284b7b719c98d41928137410539e50954d refs/remotes/origin/fix/cloudsql-connection-pool  [ON-ORIGIN-PATH: YES]
